Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"Tanjung CourtAyer Itam, Penang",Leasehold,Apartment,"RM260,000",RM335,17,
"TAMAN PD UTAMAPort Dickson, Negeri Sembilan",Freehold,Terrace House,"RM180,000",RM129,16,
"TAMAN BUKIT INDAHUlu Klang, Selangor",Leasehold,"Terrace House, Semi D","RM725,000",RM500,16,
"SS23 TAMAN SEAPetaling Jaya, Selangor",Freehold,Terrace House,"RM1,395,000",RM776,16,
"SS15Subang Jaya, Selangor",Freehold,Terrace House,"RM780,000",RM444,16,
"TAMAN BANJAR INDAHTeluk Intan, Perak",Freehold,Terrace House,"RM299,000",RM203,16,
"TAMAN TANJUNG UTARAIpoh, Perak",Freehold,"Cluster House, Terrace House","RM383,000",RM126,16,
"BANDAR BESTARI/CANARY GARDENKlang, Selangor",Freehold,Semi D,"RM1,407,500",RM465,16,
"RESIDENSI EMERALD DAMAI (EMERALD HILLS)Cheras, Kuala Lumpur",Freehold,Terrace House,"RM1,525,000",RM914,16,
"TAMAN SRI MUTIARABandar Baharu, Kedah",Freehold,Terrace House,"RM360,667",RM155,16,
"LEXVIEWIpoh, Perak",Leasehold,Terrace House,"RM438,880",RM285,16,
"TAMAN KAMPAR BESTARIKampar, Perak",Leasehold,Semi D,"RM343,800",RM106,16,
"SEREMBAN FOREST HEIGHTS (HERMOSO)Ampangan, Negeri Sembilan",Freehold,Terrace House,"RM250,000",RM192,16,
"LEMBAH BERINGINKuala Kubu Baru, Selangor",Freehold,Terrace House,"RM120,000",RM75,16,
"TAMAN SRI NIBONGBayan Lepas, Penang",Freehold,Terrace House,"RM1,010,000",RM698,16,
"DESA MAYANG SARINilai, Negeri Sembilan",Freehold,Terrace House,"RM629,000",RM460,16,
"TAMAN CEMPAKA (TELUI KIRI)Teloi Kiri, Kedah",Freehold,Terrace House,"RM169,000",RM117,16,
"SETIA INDAH 11Setia Alam, Selangor",Freehold,Terrace House,"RM662,500",RM513,16,
"PERKAMPUNGAN CENDERAWASIHKuantan, Pahang",Leasehold,Terrace House,"RM167,500",RM187,16,
"TAMAN KLEDANG, SUNGAI SIPUTSungai Siput, Perak",Leasehold,Terrace House,"RM172,500",RM120,16,
"TAMAN RIA FASA 1Padang Serai, Kedah",Freehold,Terrace House,"RM252,000",RM178,16,
"TAMAN PRIMA SAUJANAKajang, Selangor",Freehold,"Semi D, Terrace House","RM552,500",RM391,16,
"TAMAN PANGKOR MUTIARAPangkor, Perak",Freehold,Terrace House,"RM618,800",RM348,16,
"SETIA PULAU MUTIARABayan Lepas, Penang",Freehold,Terrace House,"RM1,365,000",RM702,16,
"TAMAN PINANG SEBERANGKamunting, Perak",Freehold,Terrace House,"RM215,500",RM180,16,
"TAMAN BUKIT NURI INDAHRasah, Negeri Sembilan",Freehold,Terrace House,"RM367,500",RM219,16,
"TAMAN INTANKluang, Johor",Freehold,Terrace House,"RM255,000",RM180,16,
"TAMAN JASMINKajang, Selangor",Freehold,Terrace House,"RM462,500",RM313,16,
"TAMAN WIRA (RPA MERGONG)Alor Setar, Kedah",Freehold,Terrace House,"RM39,600",RM38,16,
"TAMAN BUKIT JURUJuru, Penang",Freehold,"Terrace House, Bungalow","RM805,000",RM261,16,
"TAMAN KULIM TECHNOCITY FASA 3Kulim, Kedah",Freehold,Terrace House,"RM375,000",RM299,16,
"TAMAN SERI BAYUSungai Petani, Kedah",Freehold,Terrace House,"RM177,500",RM149,16,
"TAMAN DESAWANKlang, Selangor",Freehold,Terrace House,"RM465,000",RM359,16,
"TAMAN BUKIT BELIMBINGBalakong, Selangor",Freehold,Terrace House,"RM472,500",RM454,16,
"RESIDENSI PR1MA SERI MAHKOTAKulim, Kedah",Freehold,Terrace House,"RM221,000",RM136,16,
"TAMAN EHSAN JAYAUlu Tiram, Johor",Leasehold,Terrace House,"RM650,000",RM442,16,
"TAMAN BERTAM SETIATanjong Minyak, Melaka",Freehold,"Terrace House, Semi D","RM447,500",RM229,16,
"TAMAN SERI AMANMasjid Tanah, Melaka",Freehold,Terrace House,"RM180,000",RM113,16,
"TAMAN AMANKulai, Johor",Freehold,Terrace House,"RM300,000",RM241,16,
"TAMAN BUKIT RANGIN PERDANA 1 & 2Kuantan, Pahang",Leasehold,Terrace House,"RM220,000",RM167,16,
"TAMAN TELOKTelok Panglima Garang, Selangor",Freehold,Terrace House,"RM360,000",RM213,16,
"TAMAN NUSA PERINTIS IIIskandar Puteri (Nusajaya), Johor",Freehold,Terrace House,"RM480,000",RM388,16,
"MEDAN LAHAT BARULahat, Perak",Leasehold,Terrace House,"RM291,800",RM197,16,
"TABUAN HEIGHTSKuching, Sarawak","Leasehold, Freehold","Semi D, Terrace House","RM755,000",RM321,16,
"USJ 12Subang Jaya, Selangor",Freehold,Terrace House,"RM654,000",RM521,16,
"BANDAR MACANG BUBOKBukit Mertajam, Penang",Freehold,Terrace House,"RM392,000",RM280,16,
"TAMAN SAUJANAKluang, Johor",Freehold,Terrace House,"RM341,500",RM156,16,
"Symphony Heights (Simfoni Heights)Batu Caves, Selangor",Leasehold,Condominium,"RM350,000",RM346,16,
"Mutiara HeightsJelutong, Penang",Leasehold,Apartment,"RM337,500",RM435,16,
"Enggang ApartmentBandar Kinrara, Selangor",Freehold,Apartment,"RM142,500",RM210,16,
"Atlantis Residences (Pangsapuri Atlantis Kota Syahbandar)Melaka City, Melaka",Leasehold,Service Residence,"RM434,250",RM473,16,
"Pangsapuri Sri MerantiBandar Sri Damansara, Selangor",Freehold,Flat,"RM165,000",RM254,16,
"Mutiara MagnaKepong, Kuala Lumpur",Leasehold,Flat,"RM198,500",RM279,16,
"Rampai CourtWangsa Maju, Kuala Lumpur",Freehold,Apartment,"RM325,000",RM549,16,
"Skysuites @ Meldrum HillsJohor Bahru, Johor",Freehold,Service Residence,"RM562,500",RM659,16,
"Prima Bayu ApartmentKlang, Selangor",Freehold,Apartment,"RM325,000",RM286,16,
"Residensi Warnasari 3Bandar Puncak Alam, Selangor",Leasehold,Apartment,"RM192,500",RM265,16,
"Taman Tun Hussein OnnPerai, Penang",Freehold,Flat,"RM86,000",RM146,16,
"The WaterEdge (Pinggiran Air)Permas Jaya, Johor",Freehold,"Apartment, Condominium","RM591,000",RM452,16,
"28 Mont Kiara @ MK28Mont Kiara, Kuala Lumpur",Freehold,Condominium,"RM1,855,000",RM712,16,
"Lido Four Seasons ResidencePenampang, Sabah",Freehold,Condominium,"RM500,000",RM500,16,
"Desa ImpianaPuchong, Selangor",Freehold,Condominium,"RM390,000",RM374,16,
"Endah VillaSri Petaling, Kuala Lumpur",Leasehold,Condominium,"RM340,000",RM301,16,
"Platinum Lake PV 21Setapak, Kuala Lumpur",Leasehold,Service Residence,"RM420,000",RM697,16,
"Sea View TowerButterworth, Penang",Freehold,Condominium,"RM375,000",RM345,16,
"Pangsapuri Perdana VillaKlang, Selangor",Freehold,Apartment,"RM270,000",RM279,16,
"Vista MagnaKepong, Kuala Lumpur",Leasehold,Apartment,"RM295,000",RM332,16,
"Taman Sri Batu CavesBatu Caves, Selangor",Freehold,Flat,"RM133,500",RM203,16,
"All Seasons ParkAyer Itam, Penang",Freehold,Condominium,"RM532,500",RM523,16,
"Bandar Sultan SuleimanPort Klang, Selangor",Leasehold,Flat,"RM127,500",RM167,16,
"Taman Cheng RiaCheng, Melaka",Leasehold,Flat,"RM147,500",RM171,16,
"Taman SogaBatu Pahat, Johor",Freehold,Flat,"RM81,500",RM118,16,
"Sri Anggerik 2Puchong, Selangor",Freehold,Apartment,"RM320,500",RM397,16,
"Taman Machang BubokBukit Mertajam, Penang",Freehold,Flat,"RM77,500",RM130,16,
"Seri Intan ApartmentSetia Alam, Selangor",Freehold,Apartment,"RM298,500",RM360,16,
"The Zest @ Kinrara 9Bandar Kinrara, Selangor",Freehold,Condominium,"RM517,500",RM448,16,
"Kenanga PointKL City, Kuala Lumpur",Freehold,Condominium,"RM425,000",RM456,16,
"Seri Puteri HillsPuchong, Selangor",Freehold,Condominium,"RM1,113,500",RM680,16,
"Rhythm AvenueSubang Jaya, Selangor",Freehold,Service Residence,"RM270,000",RM332,16,
"One Central ParkDesa ParkCity, Kuala Lumpur",Freehold,Condominium,"RM1,902,500","RM1,182",16,
"TAMAN BUKIT SERDANG SEKSYEN 5Seri Kembangan, Selangor",Freehold,Terrace House,"RM630,000",RM434,15,
"TAMAN BRINGINJinjang, Kuala Lumpur","Leasehold, Freehold",Cluster House,"RM330,000",RM504,15,
"BANDAR AMANJAYA (ZON SEROJA)Sungai Petani, Kedah",Freehold,Terrace House,"RM210,000",RM161,15,
"TAMAN BUKIT SUBANGShah Alam, Selangor",Freehold,Terrace House,"RM620,000",RM415,15,
"TAMAN MERU TROPIKAIpoh, Perak",Freehold,Terrace House,"RM339,000",RM206,15,
"TAMAN DARULAMAN LAGENDASungai Petani, Kedah",Freehold,Terrace House,"RM199,900",RM143,15,
"PL 155856, TAMAN KOBAT RESIDENSI 2Kuantan, Pahang",Freehold,Terrace House,"RM342,000",RM190,15,
"BANDAR BARU SUNGAI BULOHSungai Buloh, Selangor",Leasehold,Terrace House,"RM420,000",RM286,15,
"TAMAN SATRIA JAYAKuching, Sarawak",Leasehold,Terrace House,"RM500,000",RM300,15,
"TAMAN EHSAN JAYAJohor Bahru, Johor",Leasehold,Terrace House,"RM688,000",RM443,15,
"TAMAN SETIA RESIDENSitiawan, Perak",Freehold,"Terrace House, Semi D","RM630,000",RM284,15,
"BANDAR TUN RAZAKCheras, Kuala Lumpur",Leasehold,"Terrace House, Cluster House","RM300,000",RM300,15,
"TAMAN BUKIT KEPAYANGBukit Kepayang, Negeri Sembilan",Freehold,Terrace House,"RM398,000",RM191,15,
"PUCHONG HARTAMASPuchong, Selangor",Freehold,Terrace House,"RM820,000",RM523,15,
"TAMAN BAGANButterworth, Penang",Freehold,Terrace House,"RM570,000",RM352,15,
"TAMAN BENTONG MAKMURBentong, Pahang",Freehold,Terrace House,"RM450,000",RM300,15,
"TAMAN IPOH JAYAIpoh, Perak",Leasehold,Terrace House,"RM230,000",RM214,15,
"TAMAN BUKIT RAHMAN PUTRASungai Buloh, Selangor",Freehold,"Terrace House, Semi D","RM690,000",RM394,15,
"SETAPAK JAYASetapak, Kuala Lumpur",Leasehold,Cluster House,"RM250,000",RM385,15,
"TAMAN GUNUNG MASTampin, Negeri Sembilan",Freehold,Terrace House,"RM185,000",RM147,15,
"BANDAR LAGUNA MERBOK (KEMBAR)Sungai Petani, Kedah",Freehold,Semi D,"RM630,000",RM179,15,
"TAMAN DATO CHELLAMUlu Tiram, Johor",Freehold,Terrace House,"RM600,000",RM377,15,
"TAMAN PENGKALAN TIARAIpoh, Perak",Leasehold,Terrace House,"RM401,800",RM229,15,
"TAMAN BUKIT PANCHORNibong Tebal, Penang",Freehold,Terrace House,"RM350,000",RM272,15,
"VALENCIASungai Buloh, Selangor","Freehold, Leasehold","Terrace House, Semi D","RM1,800,000",RM724,15,
"TAMAN KANTAN PERMAIKajang, Selangor",Leasehold,Terrace House,"RM375,000",RM354,15,
"TAMAN NUSA JAYA MASIskandar Puteri (Nusajaya), Johor",Freehold,Terrace House,"RM510,000",RM325,15,
"TAMAN KERJASAMABukit Baru, Melaka",Freehold,Terrace House,"RM360,000",RM227,15,
"TAMAN TANGKAK JAYA - TR 381Tangkak, Johor",Freehold,Terrace House,"RM159,000",RM143,15,
"ECO SANCTUARYTanjong Duabelas, Selangor",Leasehold,Semi D,"RM1,580,000",RM538,15,
"TAMAN SRI SENTOSAKlang, Selangor",Freehold,Terrace House,"RM400,000",RM364,15,
"TAMAN IMPIAN INDAHBukit Mertajam, Penang",Freehold,Terrace House,"RM370,000",RM301,15,
"TAMAN SURIA (SUN LAND RESIDENCE)Ipoh, Perak",Leasehold,Terrace House,"RM488,000",RM283,15,
"SEKSYEN 8Petaling Jaya, Selangor",Leasehold,Terrace House,"RM560,000",RM254,15,
"SEKSYEN 21Petaling Jaya, Selangor",Freehold,Terrace House,"RM745,000",RM429,15,
"TAMAN MERBAU INDAHTriang, Pahang",Freehold,Terrace House,"RM200,000",RM150,15,
"TAMAN KLEBANG RIAIpoh, Perak",Freehold,"Semi D, Terrace House, Cluster House","RM488,800",RM175,15,
"TAMAN PUTRAAmpang, Selangor",Leasehold,Terrace House,"RM460,000",RM594,15,
"TAMAN PONDEROSAJohor Bahru, Johor","Freehold, Leasehold","Terrace House, Bungalow, Semi D","RM1,100,000",RM521,15,
"TAMAN TAIPING UTARAKamunting, Perak",Freehold,"Terrace House, Cluster House","RM308,000",RM237,15,
"TWIN PALMCheras, Selangor",Freehold,"Bungalow, Semi D","RM2,300,000",RM470,15,
"TAMAN KOBENATampoi, Johor",Leasehold,Terrace House,"RM310,000",RM230,15,
"TAMAN TAN SRI YAACOBSkudai, Johor",Freehold,Terrace House,"RM380,000",RM491,15,
"TAMAN PELANGI SEMENYIH 2Beranang, Selangor",Freehold,"Semi D, Terrace House","RM610,000",RM322,15,
"LUCKY GARDEN (JALAN BANGSAR)Bangsar, Kuala Lumpur",Freehold,Terrace House,"RM1,340,000",RM754,15,
"TAMAN UNIVERSITI @ TAPAH (LOT147)Tapah, Perak",Leasehold,Terrace House,"RM355,000",RM150,15,
"TAMAN MALIHAHKuching, Sarawak",Leasehold,Terrace House,"RM230,000",RM105,15,
"TAMAN HI-TECH UTAMAKulim, Kedah",Freehold,"Semi D, Terrace House","RM380,000",RM187,15,
"TAMAN SEMARAK IINilai, Negeri Sembilan",Freehold,Terrace House,"RM270,000",RM174,15,
"AmaraBatu Caves, Selangor",Freehold,Service Residence,"RM360,000",RM385,15,
"Akademik SuiteTebrau, Johor",Freehold,Service Residence,"RM273,000",RM372,15,
"Aster CourtJohor Bahru, Johor",Freehold,"Service Residence, Apartment","RM390,000",RM395,15,
"Pangsapuri Taman Bukit Rawang PutraRawang, Selangor",Freehold,Flat,"RM160,000",RM184,15,
"D'Cerrum ApartmentSemenyih, Selangor",Freehold,Apartment,"RM310,000",RM327,15,
"Teratai Mewah Apartment Block 15,17,19,21Setapak, Kuala Lumpur",Freehold,Apartment,"RM230,000",RM342,15,
"Taman Seri OrkidSkudai, Johor",Leasehold,Flat,"RM150,000",RM218,15,
"Koi TropikaPuchong, Selangor",Leasehold,Service Residence,"RM320,000",RM313,15,
"Bukit Pandan Kondominium 1Cheras, Kuala Lumpur","Leasehold, Freehold",Condominium,"RM360,000",RM319,15,
"Pelangi UtamaBandar Utama, Selangor",Leasehold,Condominium,"RM480,000",RM454,15,
"Segar RiaCheras, Kuala Lumpur",Freehold,Flat,"RM160,000",RM244,15,
"Regency CondominiumKlang, Selangor",Freehold,Condominium,"RM262,000",RM232,15,
"Quayside CondominiumTanjong Tokong, Penang",Freehold,Condominium,"RM1,250,000","RM1,038",15,
"Bayu Tasik 1Cheras, Kuala Lumpur",Leasehold,Condominium,"RM380,000",RM420,15,
"Meridin Bayvue @ Sierra PerdanaMasai, Johor",Freehold,Service Residence,"RM484,000",RM384,15,
"Taman Larkin Idaman Plot CJohor Bahru, Johor",Leasehold,Apartment,"RM250,000",RM290,15,
"Court 28Jalan Ipoh, Kuala Lumpur",Freehold,Service Residence,"RM488,000",RM682,15,
"Pangsapuri Permai PuteriAmpang, Selangor",Leasehold,Apartment,"RM300,000",RM338,15,
"Palma LagunaPerai, Penang",Freehold,Apartment,"RM350,000",RM308,15,
"AngsanaSubang Jaya, Selangor",Leasehold,Flat,"RM200,000",RM304,15,
"Desa IntanAyer Itam, Penang",Freehold,Flat,"RM180,000",RM283,15,
"Taman CendanaPasir Gudang, Johor",Leasehold,Flat,"RM115,000",RM222,15,
"Pantai Hillpark 2Pantai, Kuala Lumpur",Leasehold,Condominium,"RM450,000",RM474,15,
"SuriamasBandar Sunway, Selangor",Leasehold,Condominium,"RM560,000",RM433,15,
"KiaravilleMont Kiara, Kuala Lumpur",Freehold,Condominium,"RM1,270,000",RM669,15,
"Idaman SuteraSetapak, Kuala Lumpur",Freehold,Condominium,"RM280,000",RM331,15,
"11 Mont Kiara @ MK11Mont Kiara, Kuala Lumpur",Freehold,Condominium,"RM2,646,000",RM827,15,
"Ketumbar HeightsCheras, Kuala Lumpur",Freehold,Condominium,"RM280,000",RM355,15,
"Menara UShah Alam, Selangor",Leasehold,Service Residence,"RM400,000",RM799,15,
"Vista Seri PutraBangi, Selangor",Freehold,Apartment,"RM270,000",RM303,15,
"Taman Bukit BerlianSeremban, Negeri Sembilan",Freehold,Flat,"RM50,000",RM91,15,
"Ivory ResidenceKajang, Selangor",Freehold,Condominium,"RM355,000",RM275,15,
"Menara MenjalaraBandar Menjalara, Kuala Lumpur",Freehold,Condominium,"RM420,000",RM393,15,
"Jade ViewGelugor, Penang",Freehold,Apartment,"RM285,000",RM395,15,
"Sri Suajaya CondominiumSentul, Kuala Lumpur",Freehold,Condominium,"RM300,000",RM279,15,
"Selesa I Resort Apartment (Pangsapuri Damai Mewah B)Kajang, Selangor",Freehold,Apartment,"RM270,000",RM292,15,
"Impian SentosaKlang, Selangor",Freehold,Apartment,"RM205,000",RM272,15,
"Bistari Impian ApartmentJohor Bahru, Johor",Leasehold,Apartment,"RM360,000",RM325,15,
"Medan Angsana (Farlim 2)Ayer Itam, Penang",Leasehold,Flat,"RM150,000",RM269,15,
"Taman Bunga RayaSerendah, Selangor",Leasehold,Flat,"RM75,000",RM115,15,
"SandilandsGeorgetown, Penang",Freehold,Condominium,"RM810,000",RM581,15,
"TAMAN BIDARABukit Mertajam, Penang",Freehold,Terrace House,"RM365,000",RM218,14,
"KLEBANG PERDANAIpoh, Perak",Freehold,Terrace House,"RM544,888",RM302,14,
"SETIA ECO GLADESCyberjaya, Selangor",Freehold,"Terrace House, Semi D","RM1,289,000",RM610,14,
"SS26 TAMAN MAYANG JAYAPetaling Jaya, Selangor",Freehold,Terrace House,"RM914,000",RM607,14,
"SS5 PETALING JAYAPetaling Jaya, Selangor",Freehold,Terrace House,"RM720,000",RM429,14,
"P/L PT 29246 JENGKA SENTRALChenor, Pahang",Leasehold,Terrace House,"RM243,750",RM158,14,
"KEMUNING UTAMA, SEKSYEN 33Shah Alam, Selangor",Freehold,Terrace House,"RM880,000",RM474,14,
"SCIENTEX RAWANGRawang, Selangor",Freehold,Terrace House,"RM586,500",RM407,14,
"PEC LOT 526 & 1411 (TAMAN BUKIT BAYROUTE)Kuantan, Pahang",Freehold,Terrace House,"RM461,500",RM232,14,
"TAMAN PERWIRA JAYATapah, Perak",Leasehold,Terrace House,"RM169,000",RM121,14,
"ELEMEN @ 18, PENGKALANIpoh, Perak",Leasehold,Cluster House,"RM373,000",RM161,14,
"SKIM PERUMAHAN PERAKKU, TANJUNG TUALANGTanjong Tualang, Perak",Leasehold,Terrace House,"RM180,000",RM117,14,
"TAMAN TEHEL INDAHBemban, Melaka",Freehold,Terrace House,"RM468,000",RM304,14,
"PRIMA SRI DAMAI FASA 1Kuantan, Pahang","Leasehold, Freehold","Terrace House, Semi D","RM198,000",RM157,14,
"TAMAN SERULING EMASSungai Jawi, Penang",Freehold,"Terrace House, Semi D","RM235,000",RM200,14,
"DESA ARASungai Ara, Penang",Freehold,Terrace House,"RM785,000",RM503,14,
"TROPICANA GOLF & COUNTRY RESORTTropicana, Selangor",Leasehold,"Town House, Bungalow, Terrace House","RM2,245,000",RM611,14,
"TAMAN MAWARSandakan, Sabah",Leasehold,Terrace House,"RM325,000",RM278,14,
"TAMAN DESA DAMAIBentong, Pahang",Freehold,Terrace House,"RM232,500",RM185,14,
"BANDAR BARU BUKIT MENTOKKemaman, Terengganu",Leasehold,Terrace House,"RM210,000",RM124,14,
"TAMAN DESA BIDARAKuala Ketil, Kedah",Freehold,"Semi D, Terrace House","RM195,000",RM126,14,
"KAMPUNG MERDEKA - TR 105Batu Pahat, Johor",Freehold,"Terrace House, Bungalow","RM360,000",RM182,14,
"BANDAR BARU SUNGGALA (TAMAN EKAR)Telok Kemang, Negeri Sembilan",Freehold,Terrace House,"RM133,500",RM101,14,
"TAMAN KHAZANAH INDAHLahad Datu, Sabah",Leasehold,Terrace House,"RM180,000",RM110,14,
"TAMAN RASAH JAYA VRasah, Negeri Sembilan",Freehold,Terrace House,"RM300,000",RM176,14,
"DESA LAHAT SRI -WANGLahat, Perak",Leasehold,Terrace House,"RM318,880",RM240,14,
"TAMAN SRI BINAGA (TAMAN KIARA)Alor Setar, Kedah",Freehold,Terrace House,"RM250,000",RM185,14,
"TAMAN SAUJANA KLIADengkil, Selangor",Leasehold,Terrace House,"RM600,000",RM376,14,
"USJ 13Subang Jaya, Selangor",Freehold,Terrace House,"RM677,500",RM566,14,
"TAMAN DELIMATebrau, Johor",Leasehold,"Semi D, Terrace House","RM352,500",RM212,14,
"BANDAR MUTIARASungai Petani, Kedah",Freehold,"Terrace House, Semi D","RM260,000",RM182,14,
"PALM WALKBandar Sungai Long, Selangor",Freehold,Terrace House,"RM739,000",RM494,14,
"BANDAR BARU AYER ITAMAyer Itam, Penang",Freehold,"Terrace House, Cluster House","RM842,500",RM419,14,
"TAMAN MASSitiawan, Perak",Freehold,Terrace House,"RM177,500",RM127,14,
"KAMPUNG TASIK TAMBAHANAmpang, Selangor",Leasehold,Terrace House,"RM370,000",RM339,14,
"SEKSYEN 5 - KOTA DAMANSARAKota Damansara, Selangor",Leasehold,Terrace House,"RM890,000",RM516,14,
"EAST LEDANGIskandar Puteri (Nusajaya), Johor",Freehold,Semi D,"RM1,295,000",RM328,14,
"BANDAR BARU KOTA PUTRIMasai, Johor",Freehold,Terrace House,"RM305,000",RM395,14,
"USJ 9Subang Jaya, Selangor",Freehold,Terrace House,"RM865,000",RM479,14,
"TAMAN MATANG JAYARawang, Selangor",Leasehold,Terrace House,"RM206,000",RM210,14,
"TAMAN CHI LIUNGKlang, Selangor",Freehold,Terrace House,"RM660,000",RM308,14,
"TAMAN PERPADUANTambun, Perak",Leasehold,Terrace House,"RM220,000",RM161,14,
"SEKSYEN 20Petaling Jaya, Selangor",Freehold,Terrace House,"RM780,000",RM401,14,
"TABUAN LARUKuching, Sarawak","Leasehold, Freehold","Terrace House, Semi D","RM555,000",RM197,14,
"TAMAN SAGA INDAHMentakab, Pahang","Freehold, Leasehold",Terrace House,"RM205,000",RM147,14,
"TAMAN SUTERA IDAMANSungai Petani, Kedah",Freehold,Terrace House,"RM194,500",RM141,14,
"SEKSYEN 12Petaling Jaya, Selangor",Leasehold,Bungalow,"RM1,800,000",RM292,14,
"TAMAN SARIRawang, Selangor",Freehold,Terrace House,"RM1,180,719",RM482,14,
"TAMAN SCIENTEXDurian Tunggal, Melaka",Freehold,Terrace House,"RM275,000",RM201,14,
"GREEN STREET HOMESSeremban 2, Negeri Sembilan",Freehold,Semi D,"RM650,000",RM171,14,
"TAMAN KELEMAK UTAMAAlor Gajah, Melaka",Freehold,Terrace House,"RM398,760",RM306,14,
"TAMAN SAUJANA JAYATaiping, Perak",Leasehold,Terrace House,"RM215,000",RM148,14,
"TAMAN RASAH JAYA IRasah, Negeri Sembilan",Freehold,Terrace House,"RM285,000",RM199,14,
"TAMAN SRI ENDAHSri Petaling, Kuala Lumpur",Leasehold,"Terrace House, Semi D","RM824,500",RM523,14,
"TAMAN PUTERI JAYABatu Pahat, Johor",Freehold,Terrace House,"RM405,000",RM227,14,
"BISTARI PERDANAPasir Gudang, Johor",Freehold,Terrace House,"RM450,000",RM331,14,
"AUSTRA HEIGHTBintulu, Sarawak",Leasehold,Terrace House,"RM365,000",RM195,14,
"TAMAN MUTIARA UTAMASkudai, Johor",Freehold,Terrace House,"RM618,000",RM470,14,
"UJANA KINGFISHERKota Kinabalu, Sabah",Leasehold,Terrace House,"RM655,000",RM338,14,
"TAMAN HELANG PERDANAKulim, Kedah",Freehold,"Terrace House, Semi D","RM520,000",RM298,14,
"TAMAN SETIAWANGSASetiawangsa, Kuala Lumpur",Freehold,Terrace House,"RM859,000",RM582,14,
"TAMAN MERBAU INDAHButterworth, Penang",Freehold,Terrace House,"RM600,000",RM433,14,
"REJANG PARKSibu, Sarawak",Leasehold,Terrace House,"RM344,000",RM184,14,
"TAMAN RASA UTAMABatang Kali, Selangor",Leasehold,Terrace House,"RM180,000",RM121,14,
"Dwi MahkotaTampoi, Johor",Leasehold,Condominium,"RM300,000",RM290,14,
"Desa BaiduriAyer Itam, Penang",Leasehold,Flat,"RM220,000",RM353,14,
"Taman Lembah MajuAmpang, Selangor",Leasehold,Apartment,"RM232,500",RM254,14,
"Taman Kota PermaiBukit Mertajam, Penang",Freehold,Flat,"RM76,000",RM140,14,
"Lakeview ApartmentsSelayang, Selangor",Leasehold,Apartment,"RM300,000",RM335,14,
"Tropez ResidencesJohor Bahru, Johor",Freehold,Service Residence,"RM395,000",RM509,14,
"Villa Bestari ApartmentIskandar Puteri (Nusajaya), Johor",Freehold,Apartment,"RM380,000",RM310,14,
"Gambier HeightsGelugor, Penang",Freehold,Apartment,"RM334,000",RM470,14,
"SutramasPuchong, Selangor",Freehold,Apartment,"RM312,500",RM371,14,
"JentayuSkudai, Johor",Freehold,Flat,"RM105,000",RM180,14,
"Kondo RakyatKuala Ibai, Terengganu",Leasehold,Flat,"RM52,000",RM85,14,
"Le Yuan ResidenceJalan Klang Lama (Old Klang Road), Kuala Lumpur",Freehold,Condominium,"RM877,500",RM554,14,
"Teratai Mewah Apartment Block 4 & 6Setapak, Kuala Lumpur",Freehold,Apartment,"RM229,000",RM342,14,
"Miharja CondominiumCheras, Kuala Lumpur",Leasehold,Condominium,"RM339,000",RM346,14,
"Larkin HeightsJohor Bahru, Johor",Leasehold,Service Residence,"RM400,000",RM402,14,
"Geo38 ResidenceBentong, Pahang",Freehold,Service Residence,"RM744,000",RM833,14,
